,date_time,latitude,longitude,altitude,pressure,temperature,satellites_used,gps_fixtime,positiondop,h_accuracy,v_accuracy,x_speed,y_speed,z_speed,speed_accuracy,location,userflag,speed_3d,speed_2d,direction,altitude_agl,year
559,5/30/2013 15:55,52.9288718,5.4402015,-1,\N,23.9,\N,8.2,3.8,16,14.8,-0.49,-1.05,-0.67,0.8,0101000020E6100000BF99982EC4C215409D966945E5764A40,0,1.338469275,1.000911789,-86.2908054,1,2013
894,6/5/2013 2:28,52.9276982,5.4402019,-6,\N,21.1,5,8.4,3,11,22.6,-0.63,-0.42,-0.67,1.44,0101000020E61000005A8C7049C4C215406FC78AD0BE764A40,0,1.011039069,0.380645646,-70.30590463,-3,2013
483,5/29/2013 13:58,52.9290998,5.4402045,2,\N,27.2,\N,11.9,2,12.4,10.3,-0.81,-0.11,-0.52,1.22,0101000020E61000004835ECF7C4C215402EDC03BEEC764A40,0,0.968813708,0.339821514,-5.523800166,4,2013
1247,6/10/2013 13:08,52.9277605,5.4402069,-12,\N,30.8,5,8,2.2,13.1,14,-4.51,0.36,-0.87,1.28,0101000020E6100000E8E4FB98C5C21540A30227DBC0764A40,0,4.607233443,3.130785567,14.53916159,-9,2013
1251,6/10/2013 14:08,52.9277735,5.4402069,-11,\N,33.2,4,14.4,3.3,18,22.9,-2.42,-0.87,-1.53,1.37,0101000020E6100000E8E4FB98C5C21540384C3448C1764A40,0,2.992356931,1.241348633,-30.85508262,-8,2013
885,6/4/2013 21:56,52.9274323,5.4402093,9,\N,15.5,7,10.6,2.5,16.6,14.8,-0.81,-7.19,0.26,1.07,0101000020E610000089940B3AC6C2154085E0021AB6764A40,0,7.240151932,7.207239286,-79.2527778,11,2013
252,5/26/2013 6:51,52.9276246,5.4402097,-8,\N,21.2,\N,8.8,2.9,\N,\N,\N,\N,\N,\N,0101000020E61000002387E354C6C2154088FB2367BC764A40,0,\N,\N,\N,-5,2013
417,5/28/2013 15:12,52.9266585,5.4402151,-4,\N,38.7,\N,63.6,1.6,10.1,13.4,-0.01,0,0.58,0.75,0101000020E61000004CD246BFC7C21540BC07E8BE9C764A40,0,0.5800862,0.357589321,0.151907524,-2,2013
1482,6/14/2013 6:45,52.9272341,5.4402164,0,\N,40.2,6,11.4,1.7,20.4,14.2,-0.18,-0.43,-0.8,0.63,0101000020E6100000C3A68416C8C21540359E639BAF764A40,0,0.925904963,0.51285951,-126.7374464,2,2013
102,5/23/2013 7:28,52.927243,5.4402193,-1,\N,24,\N,8.7,2.9,21.5,12.7,-1.56,-1.87,-0.52,1.24,0101000020E6100000A54522D9C8C21540F3380CE6AF764A40,0,2.490160637,2.018736587,-58.09073887,1,2013
