,ID,longitude,latitude,date_time,b,t
251,1008-2013,5.429539,52.923386,5/31/2013 12:38,-1,5/31/2013 12:38:00
252,1008-2013,5.4299038,52.9233499,5/31/2013 12:53,-1,5/31/2013 12:53:00
253,1008-2013,5.4300041,52.9234581,5/31/2013 13:08,-1,5/31/2013 13:08:00
254,1008-2013,5.4304694,52.9236218,5/31/2013 13:23,-1,5/31/2013 13:23:00
255,1008-2013,5.4305728,52.923648,5/31/2013 13:38,-1,5/31/2013 13:38:00
256,1008-2013,5.4304527,52.9237618,5/31/2013 14:09,-1,5/31/2013 14:09:00
257,1008-2013,5.4298681,52.9234374,5/31/2013 14:24,-1,5/31/2013 14:24:00
258,1008-2013,5.4384493,52.9306223,5/31/2013 14:39,2,5/31/2013 14:39:00
259,1008-2013,5.4310721,52.9227454,5/31/2013 15:01,-1,5/31/2013 15:01:00
260,1008-2013,5.4310039,52.9224975,5/31/2013 15:31,-1,5/31/2013 15:31:00
261,1008-2013,5.430606,52.9224516,5/31/2013 15:46,-1,5/31/2013 15:46:00
262,1008-2013,5.4303496,52.9225028,5/31/2013 16:03,-1,5/31/2013 16:03:00
263,1008-2013,5.4306044,52.9226088,5/31/2013 16:19,-1,5/31/2013 16:19:00
264,1008-2013,5.4306301,52.9225771,5/31/2013 16:34,-1,5/31/2013 16:34:00
265,1008-2013,5.4306617,52.9225792,5/31/2013 16:49,-1,5/31/2013 16:49:00
266,1008-2013,5.4306815,52.9226078,5/31/2013 17:04,-1,5/31/2013 17:04:00
267,1008-2013,5.4307947,52.9226178,5/31/2013 17:19,4,5/31/2013 17:19:00
268,1008-2013,5.4312635,52.9229351,5/31/2013 17:34,4,5/31/2013 17:34:00
269,1008-2013,5.4303518,52.9224505,5/31/2013 17:49,4,5/31/2013 17:49:00
270,1008-2013,5.4307216,52.9226221,5/31/2013 18:10,4,5/31/2013 18:10:00
271,1008-2013,5.430774,52.9227,5/31/2013 18:30,4,5/31/2013 18:30:00
272,1008-2013,5.430984,52.922746,5/31/2013 18:59,4,5/31/2013 18:59:00
273,1008-2013,5.4312882,52.9226891,5/31/2013 19:33,4,5/31/2013 19:33:00
274,1008-2013,5.4311569,52.9227423,5/31/2013 19:49,4,5/31/2013 19:49:00
275,1008-2013,5.4311463,52.9227467,5/31/2013 20:18,4,5/31/2013 20:18:00
276,1008-2013,5.431062,52.9227349,5/31/2013 20:48,4,5/31/2013 20:48:00
277,1008-2013,5.4310605,52.9227808,5/31/2013 21:19,4,5/31/2013 21:19:00
278,1008-2013,5.431061,52.9228029,5/31/2013 21:49,4,5/31/2013 21:49:00
279,1008-2013,5.4311522,52.9227321,5/31/2013 22:19,4,5/31/2013 22:19:00
280,1008-2013,5.4311962,52.922863,5/31/2013 22:52,4,5/31/2013 22:52:00
281,1008-2013,5.431202,52.9228354,5/31/2013 23:22,4,5/31/2013 23:22:00
282,1008-2013,5.4306728,52.9227838,5/31/2013 23:52,4,5/31/2013 23:52:00
283,1008-2013,5.4305767,52.9227943,6/1/2013 0:22,4,6/01/2013 00:22:00
284,1008-2013,5.430482,52.9228198,6/1/2013 0:52,4,6/01/2013 00:52:00
285,1008-2013,5.4306888,52.9227868,6/1/2013 1:23,4,6/01/2013 01:23:00
286,1008-2013,5.4315727,52.9225783,6/1/2013 1:52,4,6/01/2013 01:52:00
287,1008-2013,5.4310885,52.9226442,6/1/2013 2:23,4,6/01/2013 02:23:00
288,1008-2013,5.431067,52.9225933,6/1/2013 2:54,4,6/01/2013 02:54:00
289,1008-2013,5.4312006,52.9226676,6/1/2013 3:23,4,6/01/2013 03:23:00
290,1008-2013,5.4312551,52.922651,6/1/2013 3:38,4,6/01/2013 03:38:00
291,1008-2013,5.4311563,52.9226535,6/1/2013 4:09,4,6/01/2013 04:09:00
292,1008-2013,5.4307559,52.9223903,6/1/2013 4:26,4,6/01/2013 04:26:00
293,1008-2013,5.4309942,52.9226008,6/1/2013 4:42,4,6/01/2013 04:42:00
294,1008-2013,5.4308124,52.9226276,6/1/2013 5:11,4,6/01/2013 05:11:00
295,1008-2013,5.4305372,52.922604,6/1/2013 5:37,4,6/01/2013 05:37:00
296,1008-2013,5.4304696,52.9222418,6/1/2013 5:56,4,6/01/2013 05:56:00
297,1008-2013,5.4306968,52.922737,6/1/2013 6:21,4,6/01/2013 06:21:00
298,1008-2013,5.4299338,52.9230456,6/1/2013 6:38,4,6/01/2013 06:38:00
299,1008-2013,5.4298934,52.9233184,6/1/2013 6:53,4,6/01/2013 06:53:00
300,1008-2013,5.4299811,52.9230798,6/1/2013 7:09,4,6/01/2013 07:09:00
301,1008-2013,5.4299329,52.9229011,6/1/2013 7:39,4,6/01/2013 07:39:00
302,1008-2013,5.429731,52.9230269,6/1/2013 8:10,4,6/01/2013 08:10:00
