"","x","y","t","date_time"
"1109",663694.31699866,5866842.33490089,1372027959,2013-06-23 18:52:39
"1110",663695.255360824,5866843.23520119,1372029755,2013-06-23 19:22:35
"1111",663697.274227628,5866842.2348321,1372031558,2013-06-23 19:52:38
"1112",663697.711761297,5866850.75613218,1372033354,2013-06-23 20:22:34
"1113",663689.460147666,5866851.42253905,1372035307,2013-06-23 20:55:07
"1114",663693.079689525,5866846.278925,1372037226,2013-06-23 21:27:06
"1115",663689.779473738,5866850.14181842,1372039024,2013-06-23 21:57:04
"1116",663686.493442464,5866845.65462003,1372040858,2013-06-23 22:27:38
"1117",663668.410633263,5866310.98323525,1372046276,2013-06-23 23:57:56
"1118",663674.894536066,5866272.59016381,1372057204,2013-06-24 03:00:04
"1119",663682.208846402,5866282.32452421,1372058996,2013-06-24 03:29:56
"1120",663897.027258196,5866269.11871768,1372066259,2013-06-24 05:30:59
"1121",663900.7081659,5866346.38089824,1372069878,2013-06-24 06:31:18
"1122",663845.2591284,5866362.03388614,1372071699,2013-06-24 07:01:39
"1123",663792.287394129,5866369.54348539,1372073528,2013-06-24 07:32:08
"1124",663796.657646288,5866335.95551136,1372075317,2013-06-24 08:01:57
"1125",663794.881728991,5866335.73934646,1372077110,2013-06-24 08:31:50
"1126",663775.501610358,5866354.76657717,1372078927,2013-06-24 09:02:07
"1127",663809.95095516,5866416.33854462,1372080737,2013-06-24 09:32:17
"1128",663786.40362361,5866310.14373524,1372087923,2013-06-24 11:32:03
"1129",663914.898295903,5866352.77516124,1372091584,2013-06-24 12:33:04
"1130",663915.94908052,5866354.72592696,1372093376,2013-06-24 13:02:56
"1131",663927.264980535,5866466.90807004,1372096996,2013-06-24 14:03:16
"1132",663762.396419671,5866449.03955066,1372100610,2013-06-24 15:03:30
"1133",663651.852499526,5866296.02523134,1372104207,2013-06-24 16:03:27
"1134",663991.10051668,5867345.23386681,1372107847,2013-06-24 17:04:07
"1135",663994.204594747,5867339.81686545,1372109678,2013-06-24 17:34:38
"1136",663997.234831665,5867347.25729672,1372115213,2013-06-24 19:06:53
"1137",664007.261358194,5867355.11376194,1372117017,2013-06-24 19:36:57
"1138",664008.748935674,5867352.12472026,1372118876,2013-06-24 20:07:56
"1139",664009.923261336,5867350.03802783,1372120713,2013-06-24 20:38:33
"1140",664007.926386108,5867346.24018859,1372122509,2013-06-24 21:08:29
"1141",664002.588852417,5867349.27647192,1372124316,2013-06-24 21:38:36
"1142",664001.055585557,5867348.26680228,1372126107,2013-06-24 22:08:27
"1143",664004.809893148,5867349.25178335,1372127900,2013-06-24 22:38:20
"1144",663985.064592069,5867354.96031531,1372129772,2013-06-24 23:09:32
"1145",663858.329721403,5866358.79236136,1372133365,2013-06-25 00:09:25
"1146",663900.628142098,5866412.32555136,1372135181,2013-06-25 00:39:41
"1147",663671.915416039,5866306.05837937,1372147868,2013-06-25 04:11:08
"1148",663662.593295764,5866295.008912,1372149658,2013-06-25 04:40:58
"1149",663656.978454266,5866278.61837128,1372151452,2013-06-25 05:10:52
"1150",663642.869887517,5866339.84494984,1372153286,2013-06-25 05:41:26
"1151",663681.06888644,5866347.86563269,1372155093,2013-06-25 06:11:33
"1152",663720.938473862,5866390.53694108,1372158828,2013-06-25 07:13:48
"1153",663703.232235093,5866818.54322302,1372161528,2013-06-25 07:58:48
