"","x","y","t","date_time","year"
"129",663101.72903038,5866702.05524479,1369669653,2013-05-27 11:47:33,"2013"
"130",663100.686165044,5866697.17668695,1369671446,2013-05-27 12:17:26,"2013"
"131",663103.193686468,5866698.73671831,1369672790,2013-05-27 12:39:50,"2013"
"132",663099.20552251,5866708.23282101,1369673703,2013-05-27 12:55:03,"2013"
"133",663112.656431791,5866689.71519325,1369676484,2013-05-27 13:41:24,"2013"
"134",663107.822432873,5866712.28744178,1369677429,2013-05-27 13:57:09,"2013"
"135",663108.543692401,5866711.25409429,1369678774,2013-05-27 14:19:34,"2013"
"136",663107.550256801,5866712.17803358,1369681013,2013-05-27 14:56:53,"2013"
"137",663093.088570782,5866719.79469314,1369681924,2013-05-27 15:12:04,"2013"
"138",663099.98439647,5866735.54864968,1369682822,2013-05-27 15:27:02,"2013"
"139",663989.239069934,5867365.15637549,1369686460,2013-05-27 16:27:40,"2013"
"140",664185.587360851,5866989.52202938,1369690073,2013-05-27 17:27:53,"2013"
"141",663944.805747444,5867418.08073096,1369693700,2013-05-27 18:28:20,"2013"
"142",663960.915791768,5867393.23135385,1369695491,2013-05-27 18:58:11,"2013"
"143",663974.098548717,5867369.39592163,1369697296,2013-05-27 19:28:16,"2013"
"144",664005.926620857,5867348.26541241,1369699149,2013-05-27 19:59:09,"2013"
"145",664007.203497365,5867347.31788956,1369700945,2013-05-27 20:29:05,"2013"
"146",664317.967532116,5867032.03039742,1369706372,2013-05-27 21:59:32,"2013"
"147",664298.183146544,5867017.10477109,1369708179,2013-05-27 22:29:39,"2013"
"148",663051.245935914,5866717.32261567,1369713636,2013-05-28 00:00:36,"2013"
"149",663109.553672271,5866711.43298312,1369715430,2013-05-28 00:30:30,"2013"
"150",663112.36420832,5866719.25502077,1369717238,2013-05-28 01:00:38,"2013"
"151",663111.106687413,5866712.66569643,1369719069,2013-05-28 01:31:09,"2013"
"152",663108.240825639,5866709.86323536,1369720863,2013-05-28 02:01:03,"2013"
"153",663112.482558746,5866714.5604627,1369722681,2013-05-28 02:31:21,"2013"
"154",663112.212507105,5866703.84039832,1369724478,2013-05-28 03:01:18,"2013"
"155",663106.984050321,5866717.58116176,1369726271,2013-05-28 03:31:11,"2013"
"156",663101.980954865,5866704.95304113,1369728099,2013-05-28 04:01:39,"2013"
"157",663104.812933741,5866704.18033024,1369729901,2013-05-28 04:31:41,"2013"
"158",663108.504118896,5866709.63832246,1369731715,2013-05-28 05:01:55,"2013"
"159",663048.692210002,5866729.57280127,1369733518,2013-05-28 05:31:58,"2013"
"160",663054.828522089,5866724.402461,1369734493,2013-05-28 05:48:13,"2013"
"161",663093.201420745,5866721.0343849,1369736318,2013-05-28 06:18:38,"2013"
"162",663077.430986993,5866728.95200019,1369737224,2013-05-28 06:33:44,"2013"
"163",663103.486059789,5866708.29960122,1369738601.5,2013-05-28 06:56:41,"2013"
"164",663110.91833604,5866710.97252341,1369740405,2013-05-28 07:26:45,"2013"
"165",663110.207062395,5866714.79528181,1369741758,2013-05-28 07:49:18,"2013"
"166",663117.134122963,5866722.95691849,1369743100.5,2013-05-28 08:11:40,"2013"
"167",663110.566142608,5866712.13525565,1369744891.5,2013-05-28 08:41:31,"2013"
"168",663113.80019416,5866717.97862222,1369746237,2013-05-28 09:03:57,"2013"
"169",663093.737853487,5866669.9362132,1369748463,2013-05-28 09:41:03,"2013"
"170",663096.063286518,5866686.33730597,1369750778.5,2013-05-28 10:19:38,"2013"
"171",663106.144574553,5866701.21359947,1369752572,2013-05-28 10:49:32,"2013"
"172",663095.584549593,5866673.62833665,1369755419,2013-05-28 11:36:59,"2013"
"173",663092.895619118,5866672.55763882,1369756797,2013-05-28 11:59:57,"2013"
"174",663085.973362263,5866682.76178136,1369758148.5,2013-05-28 12:22:28,"2013"
"175",663087.183947514,5866704.47509114,1369760012,2013-05-28 12:53:32,"2013"
"176",663829.271687536,5867561.02542699,1369765050,2013-05-28 14:17:30,"2013"
"177",663858.424764186,5867571.44639226,1369768668,2013-05-28 15:17:48,"2013"
"178",663982.456512393,5867350.34004942,1369770458,2013-05-28 15:47:38,"2013"
"179",663992.777160196,5867347.96306663,1369772282,2013-05-28 16:18:02,"2013"
"180",663959.237190901,5867408.37240134,1369777672,2013-05-28 17:47:52,"2013"
"181",664002.402231915,5867343.09067374,1369779464,2013-05-28 18:17:44,"2013"
"182",664000.042162158,5867343.44466095,1369781275,2013-05-28 18:47:55,"2013"
"183",663989.313034772,5867346.75414375,1369783079,2013-05-28 19:17:59,"2013"
"184",664000.674569294,5867347.00682267,1369784909,2013-05-28 19:48:29,"2013"
"185",663959.931992978,5867410.09954402,1369786749,2013-05-28 20:19:09,"2013"
"186",664006.029018402,5867354.94938403,1369788569,2013-05-28 20:49:29,"2013"
"187",664265.862705477,5867004.38000376,1369792208,2013-05-28 21:50:08,"2013"
"188",664281.807666543,5866985.64972947,1369794009,2013-05-28 22:20:09,"2013"
"189",663984.254084962,5867352.28283294,1369797638,2013-05-28 23:20:38,"2013"
"190",663108.409178949,5866711.65037145,1369800596,2013-05-29 00:09:56,"2013"
"191",663105.191799346,5866703.1242725,1369802407,2013-05-29 00:40:07,"2013"
"192",663106.993402528,5866711.13487661,1369804207,2013-05-29 01:10:07,"2013"
"193",663109.029859393,5866709.61156113,1369806038,2013-05-29 01:40:38,"2013"
"194",663109.332585414,5866710.01148696,1369807860,2013-05-29 02:11:00,"2013"
"195",663089.033999245,5866696.82174291,1369809699,2013-05-29 02:41:39,"2013"
"196",663170.127621853,5866677.13983468,1369811493,2013-05-29 03:11:33,"2013"
"197",663065.303519561,5866751.12187029,1369815158,2013-05-29 04:12:38,"2013"
"198",663127.933564437,5866725.04783969,1369816959,2013-05-29 04:42:39,"2013"
"199",663103.119785492,5866685.7964822,1369818758,2013-05-29 05:12:38,"2013"
"200",663117.821207405,5866667.51042069,1369819684,2013-05-29 05:28:04,"2013"
"201",663107.354288245,5866705.53552918,1369821089,2013-05-29 05:51:29,"2013"
"202",663105.571515041,5866704.82948333,1369823051.5,2013-05-29 06:24:11,"2013"
"203",663100.353505549,5866715.47534561,1369824422,2013-05-29 06:47:02,"2013"
"204",663108.666269005,5866701.25988264,1369826002,2013-05-29 07:13:22,"2013"
"205",663097.066296929,5866706.12854172,1369827347.5,2013-05-29 07:35:47,"2013"
"206",663101.524602778,5866718.05349534,1369829012,2013-05-29 08:03:32,"2013"
"207",663101.37639548,5866723.5319927,1369830353.5,2013-05-29 08:25:53,"2013"
"208",663102.940092354,5866714.99495661,1369831745,2013-05-29 08:49:05,"2013"
"209",663102.551505748,5866724.10058674,1369833165,2013-05-29 09:12:45,"2013"
"210",663137.604140452,5866699.53278349,1369835012.5,2013-05-29 09:43:32,"2013"
"211",663119.337979223,5866679.96500986,1369836368,2013-05-29 10:06:08,"2013"
"212",663839.007238559,5867602.19613568,1369840033,2013-05-29 11:07:13,"2013"
"213",663829.233882009,5867590.26237583,1369840930,2013-05-29 11:22:10,"2013"
"214",663115.595289926,5866696.52837412,1369842722,2013-05-29 11:52:02,"2013"
"215",663112.258090409,5866707.66647805,1369844109,2013-05-29 12:15:09,"2013"
"216",663114.570358023,5866731.22075243,1369845473,2013-05-29 12:37:53,"2013"
"217",663104.552148679,5866699.25584237,1369847088.5,2013-05-29 13:04:48,"2013"
"218",663122.998908555,5866699.65127757,1369848435,2013-05-29 13:27:15,"2013"
"219",663095.904867161,5866710.13092832,1369849807.5,2013-05-29 13:50:07,"2013"
"220",663093.905613811,5866719.51056137,1369851296,2013-05-29 14:14:56,"2013"
