"","X","x","y","t","date_time","year"
"199",199,663021.043302314,5866135.25013062,1368288028,2013-05-11 12:00:28,"2013"
"200",200,663025.712251194,5866138.04787,1368289511.5,2013-05-11 12:25:11,"2013"
"201",201,663023.925303468,5866138.35491917,1368290695,2013-05-11 12:44:55,"2013"
"202",202,662892.654929914,5866073.84272062,1368292445,2013-05-11 13:14:05,"2013"
"203",203,662902.353762798,5866130.20750125,1368294539,2013-05-11 13:48:59,"2013"
"204",204,662813.771472881,5866076.83653792,1368295692,2013-05-11 14:08:12,"2013"
"205",205,662911.146822278,5866158.77913114,1368297306.5,2013-05-11 14:35:06,"2013"
"206",206,662946.961903508,5866119.63289086,1368298603,2013-05-11 14:56:43,"2013"
"207",207,662951.692793886,5866109.87930288,1368300042,2013-05-11 15:20:42,"2013"
"208",208,662955.443489232,5866108.85252005,1368301370,2013-05-11 15:42:50,"2013"
"209",209,663147.58425233,5866281.59826301,1368303547,2013-05-11 16:19:07,"2013"
"210",210,663137.203594021,5866277.74560227,1368304698,2013-05-11 16:38:18,"2013"
"211",211,663122.518296813,5866268.04687358,1368306186,2013-05-11 17:03:06,"2013"
"212",212,663091.399491653,5866263.04793211,1368307513.5,2013-05-11 17:25:13,"2013"
"213",213,663084.068990271,5866242.70883477,1368309097,2013-05-11 17:51:37,"2013"
"214",214,663083.65074563,5866242.4532825,1368310554,2013-05-11 18:15:54,"2013"
"215",215,663084.431073523,5866243.34457752,1368311993,2013-05-11 18:39:53,"2013"
"216",216,663092.557390914,5866248.45750111,1368313577,2013-05-11 19:06:17,"2013"
"217",217,663092.950288006,5866246.17946713,1368315209,2013-05-11 19:33:29,"2013"
"218",218,663088.290634364,5866249.14890561,1368316745,2013-05-11 19:59:05,"2013"
"219",219,663088.840674626,5866249.36432187,1368318200,2013-05-11 20:23:20,"2013"
"220",220,663088.762933262,5866250.31483652,1368319656,2013-05-11 20:47:36,"2013"
"221",221,663089.619408025,5866250.39401599,1368321096,2013-05-11 21:11:36,"2013"
"222",222,663091.670156961,5866252.03576332,1368322552,2013-05-11 21:35:52,"2013"
"223",223,663093.597452563,5866251.97840637,1368323992,2013-05-11 21:59:52,"2013"
"224",224,663097.513456715,5866252.61592369,1368325576,2013-05-11 22:26:16,"2013"
"225",225,663101.25581855,5866255.16003019,1368327016,2013-05-11 22:50:16,"2013"
"226",226,663121.534723571,5866261.12619211,1368328889.5,2013-05-11 23:21:29,"2013"
"227",227,663120.75414191,5866260.20901181,1368330215,2013-05-11 23:43:35,"2013"
"228",228,663022.503402833,5866141.30192735,1368331990,2013-05-12 00:13:10,"2013"
"229",229,663024.085146365,5866139.49599856,1368333175,2013-05-12 00:32:55,"2013"
"230",230,663025.126477104,5866139.15261349,1368334655.5,2013-05-12 00:57:35,"2013"
"231",231,663022.971586612,5866139.99279841,1368336134,2013-05-12 01:22:14,"2013"
"232",232,663022.892842215,5866137.94148151,1368337616.5,2013-05-12 01:46:56,"2013"
"233",233,663024.446201882,5866138.80715863,1368339127,2013-05-12 02:12:07,"2013"
"234",234,663025.738345334,5866138.27143137,1368340622,2013-05-12 02:37:02,"2013"
"235",235,663024.013919958,5866139.61605558,1368342104,2013-05-12 03:01:44,"2013"
"236",236,663022.770309182,5866139.97486426,1368343287,2013-05-12 03:21:27,"2013"
"237",237,662972.12662912,5866178.06818298,1368345493,2013-05-12 03:58:13,"2013"
"238",238,663018.718807311,5866145.96168827,1368346807,2013-05-12 04:20:07,"2013"
"239",239,662884.535841859,5866147.81096905,1368348277,2013-05-12 04:44:37,"2013"
"240",240,662886.911392603,5866151.68695288,1368349459,2013-05-12 05:04:19,"2013"
"241",241,662954.058360058,5866157.8075775,1368351101,2013-05-12 05:31:41,"2013"
"242",242,663026.232184487,5866135.70502696,1368353024,2013-05-12 06:03:44,"2013"
"243",243,663029.85981527,5866135.4404263,1368354214,2013-05-12 06:23:34,"2013"
"244",244,663031.295478665,5866133.5323881,1368355717,2013-05-12 06:48:37,"2013"
"245",245,663035.696036537,5866129.96231264,1368356932,2013-05-12 07:08:52,"2013"
"246",246,663027.097415159,5866135.7899294,1368358532,2013-05-12 07:35:32,"2013"
"247",247,663025.542516492,5866138.98852578,1368360013,2013-05-12 08:00:13,"2013"
"248",248,663024.129861405,5866140.56636304,1368361590,2013-05-12 08:26:30,"2013"
"249",249,663025.583974719,5866138.95652421,1368363084.5,2013-05-12 08:51:24,"2013"
"250",250,663020.201045835,5866139.23672355,1368364268.5,2013-05-12 09:11:08,"2013"
"251",251,662894.643076513,5866123.1378548,1368366019,2013-05-12 09:40:19,"2013"
"252",252,662968.220951423,5866187.13075071,1368367491,2013-05-12 10:04:51,"2013"
"253",253,662952.858144702,5866207.30450161,1368369077,2013-05-12 10:31:17,"2013"
"254",254,662994.117614329,5866171.81897597,1368370524.5,2013-05-12 10:55:24,"2013"
"255",255,663026.060718698,5866137.79242672,1368372733,2013-05-12 11:32:13,"2013"
"256",256,663025.731810528,5866137.36935622,1368373646.5,2013-05-12 11:47:26,"2013"
"257",257,663025.485780516,5866140.66784329,1368375170,2013-05-12 12:12:50,"2013"
"258",258,662954.361628679,5866125.43393935,1368376824,2013-05-12 12:40:24,"2013"
"259",259,662912.509695746,5866153.18033355,1368377986,2013-05-12 12:59:46,"2013"
"260",260,662885.498098426,5866134.04754643,1368379569,2013-05-12 13:26:09,"2013"
"261",261,662800.829716806,5866020.91372294,1368381442,2013-05-12 13:57:22,"2013"
"262",262,662801.176395528,5866021.30954118,1368381875,2013-05-12 14:04:35,"2013"
"263",263,663147.210853387,5866271.99257479,1368384497,2013-05-12 14:48:17,"2013"
"264",264,663142.508625677,5866265.03180039,1368385560.5,2013-05-12 15:06:00,"2013"
"265",265,663113.498872563,5866263.53330354,1368387201,2013-05-12 15:33:21,"2013"
"266",266,663102.410650683,5866254.82528368,1368388753,2013-05-12 15:59:13,"2013"
"267",267,663098.83123435,5866255.28224453,1368390096.5,2013-05-12 16:21:36,"2013"
"268",268,663117.922855927,5866263.16170842,1368391641.5,2013-05-12 16:47:21,"2013"
"269",269,663107.535015299,5866257.55867622,1368393032,2013-05-12 17:10:32,"2013"
"270",270,663108.456708981,5866257.67875698,1368394672.5,2013-05-12 17:37:52,"2013"
"271",271,663107.808443031,5866258.32608353,1368396354,2013-05-12 18:05:54,"2013"
"272",272,663108.277406588,5866252.96943846,1368397616,2013-05-12 18:26:56,"2013"
"273",273,663107.61178495,5866255.12535722,1368399183,2013-05-12 18:53:03,"2013"
"274",274,663111.137557088,5866257.38474733,1368400735,2013-05-12 19:18:55,"2013"
"275",275,663117.100303337,5866261.80892188,1368402119,2013-05-12 19:41:59,"2013"
"276",276,663122.014206847,5866263.06507718,1368403506,2013-05-12 20:05:06,"2013"
"277",277,663119.829631702,5866264.28819387,1368405199,2013-05-12 20:33:19,"2013"
"278",278,663119.668693697,5866263.39533415,1368406662.5,2013-05-12 20:57:42,"2013"
"279",279,663119.862927367,5866266.05538508,1368408110,2013-05-12 21:21:50,"2013"
"280",280,663114.683230801,5866262.53787736,1368409663,2013-05-12 21:47:43,"2013"
"281",281,663108.550636349,5866259.66285057,1368411046,2013-05-12 22:10:46,"2013"
"282",282,663101.400484265,5866263.91303084,1368412478,2013-05-12 22:34:38,"2013"
"283",283,663148.362406918,5866275.77515241,1368414047,2013-05-12 23:00:47,"2013"
"284",284,663091.993729976,5866187.82991564,1368415583,2013-05-12 23:26:23,"2013"
"285",285,663074.873122605,5866219.91846358,1368416845,2013-05-12 23:47:25,"2013"
"286",286,663025.269095788,5866139.31330795,1368418733,2013-05-13 00:18:53,"2013"
"287",287,663022.817508041,5866140.17130395,1368420117,2013-05-13 00:41:57,"2013"
"288",288,663024.061138237,5866138.81600255,1368421501,2013-05-13 01:05:01,"2013"
"289",289,663026.002812255,5866138.80923173,1368422862,2013-05-13 01:27:42,"2013"
"290",290,663022.096162772,5866136.82343454,1368424794.5,2013-05-13 01:59:54,"2013"
"291",291,663024.808214076,5866137.81691431,1368426222,2013-05-13 02:23:42,"2013"
"292",292,663027.765669085,5866136.72549531,1368427196,2013-05-13 02:39:56,"2013"
"293",293,663009.421688047,5866198.88689699,1368428988,2013-05-13 03:09:48,"2013"
"294",294,663125.233010926,5866260.30030125,1368430539.5,2013-05-13 03:35:39,"2013"
"295",295,663122.109922294,5866258.42997644,1368431623.5,2013-05-13 03:53:43,"2013"
"296",296,663024.829034268,5866140.08895622,1368433456.5,2013-05-13 04:24:16,"2013"
"297",297,663017.998438345,5866146.96724936,1368435273,2013-05-13 04:54:33,"2013"
"298",298,663021.809936568,5866143.10447538,1368436621,2013-05-13 05:17:01,"2013"
"299",299,663025.111322509,5866139.30241069,1368437972.5,2013-05-13 05:39:32,"2013"
"300",300,663030.756170485,5866147.30363306,1368439772.5,2013-05-13 06:09:32,"2013"
"301",301,663034.270081397,5866153.14523552,1368441245,2013-05-13 06:34:05,"2013"
"302",302,663027.418457758,5866145.30921631,1368442648.5,2013-05-13 06:57:28,"2013"
"303",303,663024.98009883,5866137.31055729,1368444059,2013-05-13 07:20:59,"2013"
"304",304,663027.096937716,5866138.99093961,1368445427.5,2013-05-13 07:43:47,"2013"
"305",305,663027.191084097,5866138.79370834,1368447266.5,2013-05-13 08:14:26,"2013"
"306",306,663020.464902722,5866137.30275392,1368448635,2013-05-13 08:37:15,"2013"
"307",307,662892.128661294,5866130.69736299,1368449818,2013-05-13 08:56:58,"2013"
"308",308,663021.892138854,5866141.06972982,1368451499,2013-05-13 09:24:59,"2013"
"309",309,663028.259115429,5866138.75185474,1368452843.5,2013-05-13 09:47:23,"2013"
"310",310,663020.987126541,5866142.85956471,1368455867.5,2013-05-13 10:37:47,"2013"
