"","X","x","y","t","date_time","year"
"10358",10358,187404.224546798,5071251.47143308,1426653331,2015-03-18 00:35:31,"2015"
"10359",10359,188519.82148991,5073380.25326846,1426658732,2015-03-18 02:05:32,"2015"
"10360",10360,188510.069380644,5073335.21245582,1426660546,2015-03-18 02:35:46,"2015"
"10361",10361,188412.373887327,5073311.38804606,1426664156,2015-03-18 03:35:56,"2015"
"10362",10362,188416.2879322,5073337.34243778,1426665979,2015-03-18 04:06:19,"2015"
"10363",10363,188472.1478338,5073321.37670484,1426667799,2015-03-18 04:36:39,"2015"
"10364",10364,188426.139367076,5073320.91070052,1426669617,2015-03-18 05:06:57,"2015"
"10365",10365,188432.597841732,5073337.42659773,1426671407,2015-03-18 05:36:47,"2015"
"10366",10366,188413.877087475,5073317.26004507,1426673202,2015-03-18 06:06:42,"2015"
"10367",10367,188379.026811754,5073316.31273655,1426674989,2015-03-18 06:36:29,"2015"
"10368",10368,188534.060631503,5073394.71967,1426680428,2015-03-18 08:07:08,"2015"
"10369",10369,188562.451369114,5073399.3551126,1426682224,2015-03-18 08:37:04,"2015"
"10370",10370,188553.617820664,5073412.91782101,1426684032,2015-03-18 09:07:12,"2015"
"10371",10371,188503.816385206,5073377.38039175,1426685830,2015-03-18 09:37:10,"2015"
"10372",10372,188526.737013817,5073392.98187328,1426687649,2015-03-18 10:07:29,"2015"
"10373",10373,188597.611405565,5073422.67405082,1426689440,2015-03-18 10:37:20,"2015"
"10374",10374,188556.428281814,5073335.82856046,1426693052,2015-03-18 11:37:32,"2015"
"10375",10375,188535.85616206,5073361.62949408,1426694843,2015-03-18 12:07:23,"2015"
"10376",10376,188540.193818501,5073361.98003818,1426700258,2015-03-18 13:37:38,"2015"
"10377",10377,188515.574582639,5073376.89108696,1426702062,2015-03-18 14:07:42,"2015"
"10378",10378,188501.576093698,5073389.62136999,1426703854,2015-03-18 14:37:34,"2015"
"10379",10379,186676.381535236,5072807.4396959,1426707453,2015-03-18 15:37:33,"2015"
"10380",10380,186827.778314439,5072656.76604765,1426711058,2015-03-18 16:37:38,"2015"
"10381",10381,188444.179087059,5073260.63238563,1427280291,2015-03-25 06:44:51,"2015"
"10382",10382,188453.181809348,5073252.93046482,1427282103,2015-03-25 07:15:03,"2015"
